id,rol,sexo,edad,tipo,modelo
1,PASAJERO/ACOMPAÑANTE,Masculino,26,AUTO PARTICULAR,19
2,CONDUCTOR,Masculino,31,AUTO PFA / MOVIL / GENDARMERIA / METROPOLITANA / MOTO MOVIL,CORSA
3,PASAJERO/ACOMPAÑANTE,Femenino,28,MOTO,NO HAY DATOS
3,PASAJERO/ACOMPAÑANTE,Femenino,28,MOTO,NO HAY DATOS
4,CONDUCTOR,Masculino,37,MOTO,RX 150
5,PEATON,Masculino,27,PEATON,
6,CONDUCTOR,Masculino,30,MOTO,ALTINO 150
7,CONDUCTOR,Masculino,35,AUTO PFA / MOVIL / GENDARMERIA / METROPOLITANA / MOTO MOVIL,FOCUS
8,CONDUCTOR,Masculino,21,MOTO,CBX 250
9,CONDUCTOR,Masculino,25,MOTO,HUNTER
10,PASAJERO/ACOMPAÑANTE,Femenino,60,AUTO (no se especifica si es particular o de alquiler),NO HAY DATOS
10,PASAJERO/ACOMPAÑANTE,Femenino,60,AUTO (no se especifica si es particular o de alquiler),NO HAY DATOS
11,CONDUCTOR,Masculino,18,MOTO,150
12,PASAJERO/ACOMPAÑANTE,Femenino,24,AUTO PARTICULAR,CIVIC
13,CONDUCTOR,Masculino,33,MOTO,KLX 250
13,CONDUCTOR,Masculino,33,MOTO,KLX 250
14,CICLISTA,Masculino,25,SIN DATOS,
15,PASAJERO/ACOMPAÑANTE,Femenino,23,MOTO,NO HAY DATOS
16,CONDUCTOR,Masculino,19,MOTO,1500
16,CONDUCTOR,Masculino,19,MOTO,1500
17,CONDUCTOR,Masculino,32,MOTO,XR 125
18,CONDUCTOR,Masculino,20,MOTO,NO HAY DATOS
19,PEATON,Masculino,49,PEATON,
20,CONDUCTOR,Masculino,18,AUTO PARTICULAR,TIPO
21,PASAJERO/ACOMPAÑANTE,Femenino,55,MOTO,PATAGONIAN
22,CONDUCTOR,Masculino,29,CAMIONETA,PARTNER
22,CONDUCTOR,Masculino,29,CAMIONETA,PARTNER
23,PEATON,Masculino,29,PEATON,
24,PEATON,Masculino,24,PEATON,
25,CONDUCTOR,Masculino,53,AUTO PARTICULAR,GALAXY
26,CONDUCTOR,Masculino,32,MOTO,FZ
26,PASAJERO/ACOMPAÑANTE,Masculino,999,MOTO,FZ
27,CONDUCTOR,Masculino,55,MOTO,FOX
